BeerID;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
8472;157;15.14;1.04;1.013;3.48;33.47;4.88;18.93;90;1.032;70;1.5;All Grain;0.75;20;N/A;N/A;
8473;7;25;1.059;1.01;6.4;62;5.28;30.5;60;1.048;70;3;All Grain;N/A;20;N/A;N/A;
8474;75;1150;15.7782;2.65879;7.1;39.81;3.57;1200;90;15.2;95;2.4;All Grain;0.5;20;N/A;N/A;
8475;7;20.82;1.075;1.019;7.29;0;5.4;25.91;60;N/A;80;N/A;All Grain;N/A;N/A;N/A;N/A;
8476;40;20.82;1.054;1.015;5.19;45.62;3.47;28.39;60;1.04;68;N/A;BIAB;1.75;12.78;N/A;N/A;
8477;175;23;1.051;1.013;5.04;12.31;4.65;27;70;1.043;84;3;All Grain;0.35;24;N/A;N/A;42083
8478;10;40;12.3942;2.95214;5.05;32.17;9.04;55;90;9.1;65;N/A;All Grain;0.75;20;N/A;N/A;35042
8479;7;11.36;1.066;1.016;6.62;59.36;6.3;18.93;60;1.04;60;N/A;All Grain;N/A;20.56;N/A;N/A;
8480;135;21.77;1.068;1.021;6.1;34.82;43.18;24.61;75;1.06;75;1.2;All Grain;N/A;10;N/A;N/A;
8481;86;45.42;1.079;1.014;8.55;82.05;6.13;56.02;60;1.056;70;1.5;All Grain;0.75;19.44;N/A;N/A;2005
8482;113;20;1.081;1.015;8.63;125.6;21.35;25;90;1.065;65;2.21;All Grain;N/A;19;table sugar;N/A;28452
8483;68;16.09;1.055;1.014;5.55;44.29;4.98;20.82;60;1.042;70;1.5;All Grain;N/A;N/A;N/A;N/A;21465
8484;162;3.79;1.056;1.016;5.3;29.26;40;11.36;60;1.019;70;N/A;BIAB;N/A;18.33;N/A;N/A;
8485;134;50;1.052;1.012;5.22;21.95;8.24;57;70;1.046;73;N/A;All Grain;N/A;18;N/A;N/A;
8486;86;23;19.6597;5.78092;8.29;47.29;13.05;11;60;38.3;35;N/A;extract;N/A;N/A;N/A;N/A;
8487;39;20.82;1.05;1.012;5.04;33.99;10.41;11.36;60;N/A;35;N/A;extract;N/A;N/A;N/A;N/A;4726
8488;141;20.82;1.029;1.008;2.69;13.49;12.6;18.93;60;1.032;35;N/A;extract;N/A;N/A;N/A;N/A;
8489;129;30;1.057;1.009;6.2;50.85;31.59;45;90;1.038;65;3;All Grain;N/A;22;N/A;N/A;
